name,count
Airtel,12
Asia Cell,1
Bip,1
Bitel,1
Blueline,1
Cellcom,1
Cvmobile,1
Digicel,16
DTAC,1
Entel,1
Etisalat,3
G-Mobile,1
Globe,1
Grameenphone,1
Indosat,1
Korek Telecom,1
Life,1
Mauritel,1
Mcel,1
Mobicom,1
Mobifone,1
Moov,1
Movicel,1
MTN,4
Myanma Posts and Telecom,1
Ooredoo,2
Orange,3
Reliance Communications,2
Robi,1
Skytel,1
Smart Axiata,1
Smart Communications,1
Telcel,1
Telecom,1
Telenor,1
Telkomcel,1
Tigo,8
TNM,1
TrueMove,1
Umniah,1
Unitel,1
Virgin Mobile,1
VIVA,1
Vodoacom,2
Zain,3
Zong,1
9 mobile,1
